DrawDate,DrawnNo1,DrawnNo2,DrawnNo3,DrawnNo4,DrawnNo5,DrawnNo6
20120304,3,9,20,29,41,58
20120307,1,24,31,38,43,45
20120310,1,26,35,37,47,58
20120311,11,15,24,42,53,58
20120314,9,15,22,31,40,49
20120317,13,20,31,36,50,54
20120318,4,16,21,26,31,50
20120320,10,19,25,40,42,54
20120321,5,19,31,50,54,57
20120324,14,24,40,42,43,57
20120325,9,18,22,28,38,39
20120328,14,18,20,44,47,48
20120331,14,18,30,33,47,52
20120401,3,20,48,52,56,57
20120403,10,12,24,27,36,38
20120404,2,3,20,28,42,48
20120407,7,17,25,38,48,50
20120408,11,14,30,35,46,55
20120411,3,9,22,25,34,35
20120414,9,19,27,38,45,46
20120415,16,18,46,51,54,57
20120417,2,9,10,28,35,36
20120418,6,9,17,18,26,47
20120421,10,37,44,45,51,54
20120422,3,8,19,20,33,40
20120425,12,19,23,39,40,53
20120428,8,11,15,20,33,34
20120429,15,26,39,40,52,54
20120502,4,26,36,41,45,52
20120505,28,38,40,46,52,53
20120506,5,7,16,23,26,39
20120508,16,22,23,26,31,58
20120509,17,32,41,42,44,58
20120512,10,13,16,26,36,56
20120513,4,7,10,38,50,57
20120516,2,10,25,28,31,36
20120519,14,21,30,31,48,51
20120520,9,14,17,19,26,52
20120523,8,11,20,49,57,58
20120526,15,17,18,31,49,55
20120527,4,20,45,49,50,58
20120529,4,5,24,25,31,34
20120530,7,9,33,36,40,56
20120602,20,24,25,32,50,52
20120603,10,19,21,34,42,45
20120606,13,20,22,23,52,58
20120609,30,41,45,46,47,58
20120610,5,27,29,41,43,51
20120613,3,23,25,48,51,57
20120616,5,26,30,40,51,57
20120617,7,12,18,30,41,44
20120620,8,30,35,38,46,50
20120623,2,19,21,30,41,42
20120624,15,25,28,29,35,37
20120626,13,16,19,30,32,56
20120627,6,12,39,42,53,58
20120630,2,7,12,25,29,33
20120701,7,14,43,45,46,53
20120703,17,23,37,39,44,46
20120704,1,2,20,34,50,54
20120707,11,12,24,25,36,53
20120708,18,20,30,45,57,58
20120711,9,11,18,20,21,50
20120714,3,5,14,27,31,40
20120715,2,6,14,32,34,50
20120717,6,12,20,33,40,56
20120718,3,4,14,21,31,54
20120721,12,20,25,26,27,56
20120722,15,28,46,49,53,57
20120725,25,32,33,40,51,57
20120728,2,27,46,49,50,57
20120729,25,31,32,41,51,53
20120801,4,5,28,38,43,56
20120804,11,17,22,32,50,51
20120805,1,10,14,27,41,47
20120808,20,22,34,35,39,48
20120811,4,9,11,13,44,46
20120812,14,31,33,42,47,58
20120815,9,26,32,33,35,36
20120818,1,8,11,12,40,49
20120819,5,13,17,19,32,52
20120822,18,22,24,37,38,48
20120825,2,15,17,31,37,41
20120826,19,20,27,34,37,58
20120828,19,20,30,31,35,38
20120829,2,8,34,36,41,47
20120901,7,12,14,20,21,29
20120902,1,9,32,35,37,45
20120904,3,14,20,28,30,43
20120905,1,20,26,33,49,55
20120908,12,22,42,44,48,51
20120909,7,13,20,34,35,43
20120912,7,9,11,13,46,57
20120915,8,22,25,36,57,58
20120916,2,8,21,32,34,53
20120918,5,29,40,44,51,58
20120919,4,10,20,21,52,55
20120922,12,16,35,40,41,58
20120923,22,32,38,39,45,57
20120926,9,13,16,18,33,54
20120929,2,13,19,30,50,51
20120930,2,14,22,23,25,43
20121002,3,9,11,12,47,57
20121003,10,22,30,31,32,52
20121006,1,5,11,13,16,53
20121007,6,11,13,21,46,51
20121010,7,16,26,37,38,49
20121013,10,15,16,21,31,45
20121014,2,16,34,39,49,56
20121017,5,6,8,40,41,47
20121020,6,20,48,50,51,56
20121021,11,19,32,52,53,56
20121024,16,19,20,21,39,58
20121027,3,26,27,28,32,57
20121028,4,26,33,36,40,42
20121030,1,4,8,20,29,42
20121031,3,4,23,46,49,53
