DrawDate,DrawnNo1,DrawnNo2,DrawnNo3,DrawnNo4,DrawnNo5,DrawnNo6
20030928,19,25,31,36,37,41
20031001,5,23,25,30,32,42
20031004,2,6,16,17,28,34
20031005,5,8,9,11,12,19
20031007,16,17,21,24,25,27
20031008,12,16,20,23,25,43
20031011,9,28,31,34,35,40
20031012,5,20,22,25,34,35
20031015,8,10,15,26,29,32
20031018,13,17,21,33,36,45
20031019,5,15,25,39,41,44
20031022,5,17,22,30,37,44
20031025,12,14,18,24,28,40
20031026,6,24,26,31,39,41
20031029,8,9,10,26,28,41
20031101,9,12,15,24,25,40
20031102,2,5,28,31,37,40
20031105,3,7,14,27,30,44
20031108,10,19,22,24,35,37
20031109,1,8,17,24,39,42
20031112,11,35,37,40,41,43
20031115,9,16,34,38,40,45
20031116,5,8,12,16,28,29
20031119,2,10,12,14,22,30
20031122,2,6,12,27,28,34
20031123,6,7,15,31,34,36
20031126,5,6,10,32,41,42
20031129,14,19,29,30,33,35
20031130,7,23,24,28,31,41
20031203,6,10,19,35,36,40
20031206,3,10,20,21,22,24
20031207,11,13,22,30,31,34
20031210,19,20,30,34,35,45
20031213,1,5,16,29,31,42
20031214,4,7,29,33,35,41
20031217,14,19,20,30,33,36
20031220,3,16,29,30,36,43
20031221,1,3,23,28,38,43
20031224,6,8,31,39,40,41
20031227,11,18,23,28,33,34
20031228,5,7,11,20,28,37
20031231,7,9,19,30,43,45
20040103,2,3,9,10,19,33
20040104,6,10,28,36,37,38
20040107,3,11,21,24,31,38
20040110,1,13,16,20,21,36
20040111,10,15,29,39,41,45
20040114,3,6,30,34,39,44
20040117,8,14,16,24,26,39
20040118,1,19,24,32,34,44
20040121,5,8,10,24,26,32
20040122,3,22,35,41,42,44
20040124,10,17,18,20,21,28
20040125,3,10,13,15,23,44
20040128,18,23,27,38,41,44
20040129,3,8,24,25,34,41
20040131,3,17,21,24,33,37
20040201,5,6,20,23,26,30
20040204,1,2,3,27,28,38
20040207,10,13,16,18,37,39
20040208,4,11,19,21,26,45
20040211,12,22,28,29,35,43
20040214,8,19,26,31,36,41
20040215,9,10,16,28,39,42
20040218,13,14,28,31,35,45
20040221,2,9,11,18,37,39
20040222,2,26,29,38,39,43
20040225,1,12,19,21,40,43
20040228,2,3,19,27,33,38
20040229,7,12,18,31,41,44
20040303,1,2,4,15,32,34
20040306,2,5,6,17,24,41
20040307,10,12,16,17,35,37
20040310,4,15,25,27,36,39
20040313,4,25,29,35,43,44
20040314,5,14,16,19,25,45
20040317,6,11,13,21,30,40
20040320,16,32,34,35,43,44
20040321,3,20,23,27,28,41
20040324,6,12,15,18,36,44
20040327,1,3,23,26,27,29
20040328,4,5,25,27,30,32
20040330,5,10,11,30,32,43
20040331,1,4,12,23,28,29
20040403,2,6,20,34,43,45
20040404,3,8,14,23,28,31
20040406,3,28,29,36,37,40
20040407,6,25,26,29,32,35
20040410,9,10,12,16,37,38
20040411,1,8,13,18,20,34
20040414,2,25,29,34,35,38
20040417,4,8,12,27,32,35
20040418,8,16,19,28,33,45
20040421,4,7,10,21,24,29
20040424,1,14,32,33,37,38
20040425,1,14,31,35,36,41
20040428,7,27,28,35,36,45
20040501,9,17,27,32,35,44
20040502,20,32,35,37,39,41
20040505,6,12,23,29,39,43
20040508,2,13,28,33,35,40
20040509,2,15,22,27,32,45
20040512,8,21,25,27,28,39
20040515,6,7,9,27,42,43
20040516,1,20,30,33,35,36
20040519,6,15,17,26,29,37
20040522,6,11,19,32,34,38
20040523,1,22,27,31,36,37
20040526,6,13,14,32,35,42
20040529,3,16,27,34,37,45
20040530,6,15,18,19,29,37
20040602,11,26,33,36,38,44
20040605,13,25,27,29,38,40
20040606,10,21,25,26,27,28
20040608,9,13,26,37,40,44
20040609,1,8,11,16,25,33
20040612,1,3,6,27,28,33
20040613,13,18,27,30,34,41
20040616,3,18,19,40,44,45
20040619,5,7,12,14,31,36
20040620,2,11,21,22,31,35
20040623,7,11,21,22,32,36
20040626,9,15,21,23,26,28
20040627,12,15,17,26,41,43
20040630,15,18,22,25,32,39
20040703,5,14,22,23,30,34
20040704,4,18,24,26,36,37
20040707,12,26,39,40,42,43
20040710,4,13,17,22,31,41
20040711,5,11,14,26,34,36
20040714,4,7,12,18,22,39
20040717,16,23,27,33,42,45
20040718,2,14,21,24,34,37
20040721,6,9,27,28,30,39
20040724,4,5,8,9,22,33
20040725,24,27,30,31,35,41
20040728,2,5,12,23,25,35
20040731,5,8,10,25,26,36
20040801,11,12,15,20,25,27
20040804,25,28,32,34,36,37
20040807,1,6,24,32,35,41
20040808,1,29,30,33,38,39
20040811,6,7,8,10,16,28
20040814,8,17,26,36,39,45
20040815,13,15,34,35,39,40
20040818,8,16,18,23,38,42
20040821,12,13,17,25,26,41
20040822,3,20,23,26,27,37
20040825,4,7,13,22,27,29
20040828,13,21,27,28,43,45
20040829,11,12,21,35,38,40
20040901,6,7,31,37,40,41
20040904,5,25,26,34,39,43
20040905,10,15,17,27,28,38
20040908,2,16,18,26,27,34
20040911,6,15,18,32,38,45
20040912,6,20,34,37,41,45
20040915,1,7,12,23,26,39
20040918,7,12,15,19,28,43
20040919,1,20,33,34,40,43
20040922,6,14,21,28,32,38
20040925,9,16,17,20,24,31
20040926,2,7,23,25,39,43
20040928,1,19,20,23,37,40
20040929,6,11,13,28,31,33
20041002,10,16,20,28,42,45
20041003,2,11,19,21,31,39
20041005,2,12,19,22,32,45
20041006,16,21,24,32,41,45
20041009,6,8,14,32,40,42
20041010,3,9,13,23,24,39
20041013,14,15,19,29,34,44
20041016,2,5,11,29,35,42
20041017,4,6,11,15,22,35
20041020,12,16,23,32,42,45
20041023,2,3,9,20,21,32
20041024,5,15,19,26,29,36
20041027,5,14,15,16,39,42
20041030,5,9,10,17,35,39
20041031,15,20,23,30,34,40
20041103,1,15,28,32,38,42
20041106,1,26,27,28,30,38
20041107,10,16,21,28,30,41
20041110,8,15,23,30,36,45
20041113,2,7,10,21,32,41
20041114,8,11,14,18,23,35
20041117,5,20,21,25,31,35
20041120,5,8,30,32,34,35
20041121,2,15,20,28,35,42
20041124,5,16,18,27,32,33
20041127,17,25,33,38,39,43
20041128,1,2,3,6,33,43
20041201,15,17,24,25,26,37
20041204,3,6,13,27,28,37
20041205,7,8,9,30,36,43
20041208,9,10,13,16,24,28
20041211,11,19,23,26,31,44
20041212,4,15,16,17,31,35
20041215,6,9,13,19,27,36
20041218,13,19,20,24,26,44
20041219,2,4,24,29,35,44
20041222,3,5,16,18,24,32
20041225,4,13,24,34,35,42
20041226,15,30,32,37,41,45
20041229,7,13,31,34,36,40
20050101,8,11,21,22,27,30
20050102,10,13,18,37,39,40
20050105,1,4,11,14,20,31
20050108,5,10,17,18,31,45
20050109,2,3,11,17,36,43
20050112,10,13,16,24,32,44
20050115,17,23,25,27,31,34
20050116,3,5,7,17,22,34
20050119,12,16,21,22,34,40
20050122,2,4,12,14,24,42
20050123,1,5,10,13,29,43
20050125,13,16,20,30,39,40
20050126,1,10,14,37,43,45
20050129,4,6,25,34,38,45
20050130,10,19,30,31,32,43
20050201,3,11,27,28,29,37
20050202,1,3,21,25,29,43
20050205,20,26,31,32,40,42
20050206,12,19,27,29,30,45
20050209,6,10,22,29,37,45
20050210,2,21,25,28,33,44
20050212,9,15,19,23,24,28
20050213,16,20,22,29,36,41
20050215,5,14,26,35,38,45
20050216,13,24,30,37,38,40
20050219,2,4,23,24,36,37
20050220,4,8,13,15,33,43
20050223,12,17,21,30,31,32
20050226,1,4,8,9,13,29
20050227,1,2,8,9,24,27
20050302,4,5,12,21,32,45
20050305,6,14,15,23,36,44
20050306,8,10,13,35,36,39
20050309,2,10,28,31,35,37
20050312,12,18,23,30,35,45
20050313,6,8,15,19,35,37
20050316,2,8,12,21,32,41
20050319,15,25,32,38,42,43
20050320,7,8,16,17,23,26
20050323,5,8,10,24,33,35
20050326,1,15,20,26,39,45
20050327,7,19,40,42,43,44
20050329,4,17,18,23,39,40
20050330,4,21,25,27,30,42
20050402,9,13,14,19,27,40
20050403,3,14,18,31,36,42
20050406,12,14,20,22,37,38
20050409,9,12,16,19,31,45
20050410,16,19,22,27,30,44
20050412,14,17,27,41,43,45
20050413,1,19,20,31,33,41
20050416,12,20,24,26,33,41
20050417,30,33,34,40,42,44
20050420,3,21,22,26,27,42
20050423,6,10,16,19,21,22
20050424,8,9,20,30,32,42
20050426,2,4,8,23,36,40
20050427,12,16,23,27,44,45
20050430,2,11,12,15,18,41
20050501,4,6,7,12,25,26
20050504,12,15,25,35,39,42
20050507,6,13,26,28,30,35
20050508,2,5,9,21,32,38
20050511,11,13,15,31,37,39
20050514,25,28,30,36,38,40
20050515,1,10,22,23,24,26
20050517,1,11,18,26,32,44
20050518,3,7,33,34,37,42
20050521,2,13,15,21,37,38
20050522,16,19,20,33,39,44
20050525,2,16,21,25,33,39
20050528,3,6,7,15,21,28
20050529,3,25,29,35,40,44
20050601,7,9,18,26,31,44
20050604,5,9,10,20,32,37
20050605,8,11,29,32,34,42
20050607,2,19,21,22,37,45
20050608,18,22,25,33,34,39
20050611,9,12,14,22,23,44
20050612,6,12,21,22,29,38
20050615,2,10,14,17,37,44
20050618,21,26,30,32,39,43
20050619,1,11,14,34,35,45
20050622,5,19,21,25,30,40
20050625,2,6,12,26,28,30
20050626,2,10,12,39,40,42
20050629,4,11,12,22,32,36
20050702,10,11,25,27,28,31
20050703,4,13,16,29,32,40
20050705,7,18,31,36,38,40
20050706,7,11,21,28,34,41
20050709,3,7,12,30,33,38
20050710,12,17,26,32,35,37
20050713,2,5,20,29,39,44
20050716,8,11,26,36,41,44
20050717,6,16,18,19,21,38
20050720,3,6,15,19,26,32
20050723,22,27,32,35,38,45
20050724,1,25,27,34,41,44
20050727,4,13,16,17,28,35
20050730,1,3,6,9,25,27
20050731,3,5,19,37,38,39
20050803,3,7,13,18,39,41
20050806,6,11,13,23,31,45
20050807,4,19,26,29,36,40
20050809,6,17,23,25,38,43
20050810,7,14,17,19,23,28
20050813,14,18,20,30,39,43
20050814,8,9,12,15,21,26
20050817,1,19,20,24,25,39
20050820,5,18,27,28,38,41
20050821,3,6,10,15,24,38
20050824,3,8,26,29,39,43
20050827,3,11,17,23,32,36
20050828,8,14,18,20,22,44
20050830,3,12,17,23,31,41
20050831,4,9,15,17,23,29
20050903,1,7,9,11,15,19
20050904,11,17,29,34,35,38
20050907,15,19,23,36,41,44
20050910,11,15,22,23,36,41
20050911,11,15,16,30,39,45
20050913,2,23,26,41,44,45
20050914,1,5,6,39,40,44
20050917,8,25,26,32,35,43
20050918,4,7,21,29,34,45
20050921,10,22,24,26,35,40
20050924,5,10,21,29,33,43
20050925,1,18,22,35,36,41
20050928,4,8,18,26,33,36
20051001,12,19,20,29,33,40
20051002,25,27,34,35,39,41
20051005,2,5,14,19,22,27
20051008,1,7,15,23,41,45
20051009,8,28,29,33,39,40
20051012,3,6,20,21,26,33
20051015,13,28,32,34,38,40
20051016,7,8,21,28,33,38
20051019,9,11,13,20,30,45
20051022,16,17,21,26,28,33
20051023,8,13,17,22,23,31
20051026,14,19,21,23,31,43
20051029,14,15,18,28,31,44
20051030,1,10,12,17,28,41
20051101,16,17,22,23,25,38
20051102,3,11,35,37,41,42
20051105,2,5,11,12,17,34
20051106,1,9,12,20,22,43
20051108,2,5,19,26,37,44
20051109,3,8,9,12,13,43
20051112,7,9,18,29,34,36
20051113,1,15,16,17,25,44
20051116,7,16,25,27,30,40
20051119,14,15,18,30,35,43
20051120,1,4,12,23,33,39
20051123,15,16,19,36,38,43
20051126,5,9,18,32,33,37
20051127,4,5,7,17,25,41
20051130,3,21,22,24,36,37
20051203,1,14,18,22,35,37
20051204,9,22,26,32,39,41
20051207,5,10,16,37,41,45
20051210,13,26,35,38,39,42
20051211,3,12,14,15,25,37
20051214,1,2,5,7,23,32
20051217,12,25,27,37,39,43
20051218,2,3,19,27,38,42
20051220,13,23,24,31,33,39
20051221,1,6,17,31,36,37
20051224,20,21,29,31,33,38
20051225,4,17,22,23,30,32
20051228,1,12,16,21,34,41
20051231,12,26,28,31,32,43
20060101,1,21,22,26,30,35
20060104,8,11,15,25,36,42
